,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,HKTN,HKXH,A00,B00,C00,D01,A01
481,6.80,7.25,,,,5,6.50,8,7.60,N1,02,,19.50,,,18.80,21.70,
482,8.60,7.75,8,5.75,5,,,,8.60,N1,02,18.80,,22.40,19.40,,25.00,25.20
483,8.20,7.50,7.75,7,4,,,,9.20,N1,02,18.80,,23.00,19.20,,24.90,25.20
484,8.80,7.75,,,,6.50,8,7.75,9.60,N6,02,,22.30,,,22.30,26.20,
485,7.80,7.25,4.50,7.50,7.50,,,,8,N1,02,19.50,,19.80,22.80,,23.10,20.30
486,7.60,6.75,5.75,7.75,5.75,,,,9.40,N1,02,19.30,,21.10,21.10,,23.80,22.80
487,8.40,7.50,7.50,5.75,5.50,,,,9.20,N1,02,18.80,,21.70,19.70,,25.10,25.10
488,8.60,7.25,7,6.50,5.50,,,,8.40,N1,02,19.00,,22.10,20.60,,24.30,24.00
489,8.60,7.50,,,,4.75,6.50,6.75,9.40,N1,02,,18.00,,,18.80,25.50,
490,8.40,8.75,6.50,6.50,4,,,,8.60,N1,02,17.00,,21.40,18.90,,25.80,23.50
491,8,7.50,6.50,6,3.50,,,,9.40,N1,02,16.00,,20.50,17.50,,24.90,23.90
492,9,7,6.75,7.75,6,,,,,,02,20.50,,23.50,22.80,,,
493,8,7.50,8.75,8.25,4,,,,8.80,N1,02,21.00,,25.00,20.30,,24.30,25.60
494,7,7.50,,,,6.50,7,8.75,9,N1,02,,22.30,,,21.00,23.50,
495,7.80,7,,,,5.75,8.25,8.25,9.20,N1,02,,22.30,,,21.00,24.00,
496,7.40,7.25,5.75,6.75,5,,,,9.20,N1,02,17.50,,19.90,19.20,,23.90,22.40
497,8.60,6.75,7.50,7.75,5.25,,,,9,N1,02,20.50,,23.90,21.60,,24.40,25.10
498,7.80,8.25,,,,6,6.50,8.25,9,N1,02,,20.80,,,20.80,25.10,
499,8.80,7.75,,,,4.50,7.50,9,9.40,N1,02,,21.00,,,19.80,26.00,
500,8,8.25,6.50,7.75,5.75,,,,9.20,N1,02,20.00,,22.30,21.50,,25.50,23.70
501,8.40,6.75,8.25,7.75,5,,,,8.60,N1,02,21.00,,24.40,21.20,,23.80,25.30
502,7.60,5.75,7.25,4.75,5.25,,,,8.20,N1,02,17.30,,19.60,17.60,,21.50,23.00
503,7,4.25,7.75,8,3,,,,8.20,N1,02,18.80,,22.80,18.00,,19.50,23.00
504,8.80,6.50,,,,7.50,8.25,8.75,9,N1,02,,24.50,,,22.30,24.30,
505,8.60,6.25,7.50,6.50,4.50,,,,9,N1,02,18.50,,22.60,19.60,,23.90,25.10
506,6.40,6.50,5.25,5.25,5.50,,,,9.40,N1,02,16.00,,16.90,17.20,,22.30,21.10
507,7.60,6.75,,,,6,7.75,9,9.40,N1,02,,22.80,,,20.50,23.80,
508,9,7,7.25,7.75,5.25,,,,9.60,N1,02,20.30,,24.00,22.00,,25.60,25.90
509,7,6.25,,,,5.50,6,8,8.20,N1,02,,19.50,,,17.80,21.50,
510,7.60,4.50,6.25,8.25,5,,,,9.40,N1,02,19.50,,22.10,20.90,,21.50,23.30
511,8.40,5.75,7.25,5.50,6.25,,,,9.80,N1,02,19.00,,21.20,20.20,,24.00,25.50
512,7.60,6,5.25,6,5.75,,,,9.40,N1,02,17.00,,18.90,19.40,,23.00,22.30
513,8.20,7.25,7.50,7.25,5.75,,,,6.80,N1,02,20.50,,23.00,21.20,,22.30,22.50
514,8.20,8,5.75,8.50,8,,,,8.80,N1,02,22.30,,22.50,24.70,,25.00,22.80
515,8.40,6.75,8.50,9,7,,,,9,N1,02,24.50,,25.90,24.40,,24.20,25.90
516,8.60,7.50,8.50,8,5,,,,9.20,N1,02,21.50,,25.10,21.60,,25.30,26.30
517,8,7,,,,6.50,7.75,8.75,9.60,N1,02,,23.00,,,21.30,24.60,
518,7.60,6.50,7.50,7.75,7.75,,,,7.20,N1,02,23.00,,22.90,23.10,,21.30,22.30
519,9.20,7,7.25,7.50,4.75,,,,8.80,N1,02,19.50,,24.00,21.50,,25.00,25.30
520,7.80,8.75,,,,4.50,6.75,8.25,8.60,N1,02,,19.50,,,20.00,25.20,
521,8.80,8,,,,7,7.75,8.50,9.20,N1,02,,23.30,,,22.80,26.00,
522,7.40,7,,,,6.25,7.25,9.50,6.60,N6,02,,23.00,,,20.50,21.00,
523,8.40,7.25,,,,6.50,8.75,10,9,N1,02,,25.30,,,22.50,24.70,
524,8.40,6.25,7.25,7,5.25,,,,8,N1,02,19.50,,22.70,20.70,,22.70,23.70
525,8,7.25,6.25,7,5,,,,8.40,N1,02,18.30,,21.30,20.00,,23.70,22.70
526,6.40,7.25,,,,2.50,6.25,8.75,7.80,N1,02,,17.50,,,16.00,21.50,
527,8.20,7,8.50,8.50,8,,,,8.80,N1,02,25.00,,25.20,24.70,,24.00,25.50
528,7.60,7.50,5.25,6.75,6.75,,,,9.40,N1,02,18.80,,19.60,21.10,,24.50,22.30
529,7.60,7,6.25,8.25,6,,,,9,N1,02,20.50,,22.10,21.90,,23.60,22.90
530,7,7.25,6,7,5,,,,9.20,N1,02,18.00,,20.00,19.00,,23.50,22.20
531,8.20,6.75,8,6.75,3.25,,,,9,N1,02,18.00,,23.00,18.20,,24.00,25.20
532,8.20,6.75,8.25,7.50,5,,,,7.80,N1,02,20.80,,24.00,20.70,,22.80,24.30
533,7.60,6.25,7.25,5.25,3.50,,,,9.80,N1,02,16.00,,20.10,16.40,,23.70,24.70
534,8,7.50,7.25,4,6.25,,,,8,N1,02,17.50,,19.30,18.30,,23.50,23.30
535,8.60,8.25,7,6.50,6.50,,,,10,N1,02,20.00,,22.10,21.60,,26.90,25.60
536,7.80,8.75,,,,4.75,6.75,7.25,9,N1,02,,18.80,,,20.30,25.60,
537,8.80,7.50,,,,7.75,8.75,8.25,8.60,N1,02,,24.80,,,24.00,24.90,
538,8,7.50,7.75,8.50,6,,,,8.40,N1,02,22.30,,24.30,22.50,,23.90,24.20
539,8.40,7.25,7.50,7,5,,,,8,N1,02,19.50,,22.90,20.40,,23.70,23.90
540,8.40,7.75,5.50,7.50,5.50,,,,8.60,N1,02,18.50,,21.40,21.40,,24.80,22.50
541,8,7,7,5.25,3,,,,8.80,N1,02,15.30,,20.30,16.30,,23.80,23.80
542,6.80,6,5.75,7,6,,,,8.20,N1,02,18.80,,19.60,19.80,,21.00,20.80
543,9.20,5.50,7.25,6.75,4.75,,,,9,N1,02,18.80,,23.20,20.70,,23.70,25.50
544,8,5,5,8,5,,,,8.80,N1,02,18.00,,21.00,21.00,,21.80,21.80
545,7.80,7.25,8,8,6.75,,,,9,N1,02,22.80,,23.80,22.60,,24.10,24.80
546,8,6.50,7.75,6.50,5,,,,4.80,N1,02,19.30,,22.30,19.50,,19.30,20.60
547,7.20,6.25,4,7,6.50,,,,7,N1,02,17.50,,18.20,20.70,,20.50,18.20
548,8.60,6,5.50,8.50,8.50,,,,9.20,N1,02,22.50,,22.60,25.60,,23.80,23.30
549,7.40,6.75,6.25,5.75,4,,,,8.20,N1,02,16.00,,19.40,17.20,,22.40,21.90
550,7.20,6.50,6.50,8,5.25,,,,9,N1,02,19.80,,21.70,20.50,,22.70,22.70
551,8.40,7,,,,7.25,8,8,9,N1,02,,23.30,,,22.30,24.40,
552,9,6.25,7.75,5.75,5.75,,,,9,N1,02,19.30,,22.50,20.50,,24.30,25.80
553,8,6.50,7.25,6.75,4,,,,8.60,N1,02,18.00,,22.00,18.80,,23.10,23.90
554,8,6.75,7.50,6.75,3.50,,,,8.60,N1,02,17.80,,22.30,18.30,,23.40,24.10
555,8.80,6,6,5.50,5,,,,8.80,N1,02,16.50,,20.30,19.30,,23.60,23.60
556,8.40,7.50,6.75,7.50,6.50,,,,9.40,N1,02,20.80,,22.70,22.40,,25.30,24.60
557,8.20,7.25,6.25,6.75,7.25,,,,7,N1,02,20.30,,21.20,22.20,,22.50,21.50
558,8.60,6,7.25,5.75,6.75,,,,9.20,N1,02,19.80,,21.60,21.10,,23.80,25.00
559,7.60,7.25,,,,7.75,7,7,,,02,,21.80,,,22.00,,
560,7,7,7,6.25,5.25,,,,9,N1,02,18.50,,20.30,18.50,,23.00,23.00
561,7.20,7.50,7.25,7.75,7.25,,,,8.60,N1,02,22.30,,22.20,22.20,,23.30,23.00
562,8.40,4.75,7,3.75,4.25,,,,9,N1,02,15.00,,19.20,16.40,,22.20,24.40
563,8.60,6.75,7,6.50,5.75,,,,8,N1,02,19.30,,22.10,20.90,,23.40,23.60
564,7,6.25,,,,4.50,7.25,8.25,7.40,N1,02,,20.00,,,18.00,20.70,
565,7.60,7.50,,,,6.75,8,7,7.80,N1,02,,21.80,,,22.30,22.90,
566,7.40,5.50,5,7.50,5.50,,,,8.60,N1,02,18.00,,19.90,20.40,,21.50,21.00
567,8.20,7,,,,3.50,5.75,7.25,9.20,N1,02,,16.50,,,16.30,24.40,
568,6.20,6.75,,,,6.50,5.50,7.75,7.60,N1,02,,19.80,,,18.80,20.50,
569,6.80,7.50,,,,5.75,6.75,9.50,8.80,N1,02,,22.00,,,20.00,23.10,
570,8.40,6.75,7,7.75,4.75,,,,5.40,N1,02,19.50,,23.20,20.90,,20.60,20.80
571,6,6.50,6.75,5,5.25,,,,9,N1,02,17.00,,17.80,16.30,,21.50,21.80
572,8.80,6.50,8,8.25,5,,,,8.20,N1,02,21.30,,25.10,22.10,,23.50,25.00
573,7.20,7,5.75,4,4.50,,,,7.80,N1,02,14.30,,17.00,15.70,,22.00,20.80
574,6.60,6,6,4.50,6,,,,7.60,N1,02,16.50,,17.10,17.10,,20.20,20.20
575,8.60,7.25,8.25,6.75,6.50,,,,9.60,N1,02,21.50,,23.60,21.90,,25.50,26.50
576,7.60,6.75,5.50,4,4.50,,,,8.20,N1,02,14.00,,17.10,16.10,,22.50,21.30
577,7.80,7.50,6.75,8,5.50,,,,6,N1,02,20.30,,22.60,21.30,,21.30,20.60
578,5.60,6.25,4.75,4,4.25,,,,7.80,N1,02,13.00,,14.40,13.90,,19.70,18.20
579,7.80,6.50,6.25,3.25,5.50,,,,9,N1,02,15.00,,17.30,16.60,,23.30,23.10
580,6.40,6.50,6.50,5.25,4,,,,9.80,N1,02,15.80,,18.20,15.70,,22.70,22.70
581,8,8,,,,5.50,6.75,8.25,9.40,N1,02,,20.50,,,20.30,25.40,
582,5.80,8.25,,,,7.75,7.50,9.25,7.40,N1,02,,24.50,,,23.50,21.50,
583,7.80,5.50,6,7,5.50,,,,6.20,N1,02,18.50,,20.80,20.30,,19.50,20.00
584,8.40,7.25,7,4.75,6.25,,,,8.20,N1,02,18.00,,20.20,19.40,,23.90,23.60
585,8.20,7.50,8,6,6,,,,8.60,N1,02,20.00,,22.20,20.20,,24.30,24.80
586,8,6,5.75,8.25,8,,,,9.40,N1,02,22.00,,22.00,24.30,,23.40,23.20
587,7.40,6.50,,,,4.25,6,7.75,9.60,N1,02,,18.00,,,16.80,23.50,
588,7.20,7.50,7.75,7.75,5,,,,8.60,N1,02,20.50,,22.70,20.00,,23.30,23.50
589,7.60,8.25,,,,8.50,7.25,9,8.60,N1,02,,24.80,,,24.00,24.50,
590,8.80,7.25,6.75,8.25,9.25,,,,9.20,N1,02,24.30,,23.80,26.30,,25.30,24.80
591,7.20,7.75,6.75,7.25,4.75,,,,7.80,N1,02,18.80,,21.20,19.20,,22.80,21.80
592,6.60,6.75,,,,4.75,6,8.25,8.60,N1,02,,19.00,,,17.50,22.00,
593,7.60,7.75,7,6.75,6,,,,8.80,N1,02,19.80,,21.40,20.40,,24.20,23.40
594,7,8,,,,2.50,6.50,8.50,7.80,N1,02,,17.50,,,17.00,22.80,
595,7.80,7.75,,,,8,7.50,9.50,9,N1,02,,25.00,,,23.30,24.60,
596,8.60,7.50,7.75,8.25,6.25,,,,8.80,N1,02,22.30,,24.60,23.10,,24.90,25.20
597,8.40,7.50,7,6.75,5.75,,,,9.40,N1,02,19.50,,22.20,20.90,,25.30,24.80
598,8.40,7.50,4.50,5.50,3.75,,,,9.40,N1,02,13.80,,18.40,17.70,,25.30,22.30
599,7,7,6.25,6.50,7.25,,,,8.20,N1,02,20.00,,19.80,20.80,,22.20,21.50
600,8.20,7.50,,,,8,7.50,9.50,9.40,N1,02,,25.00,,,23.00,25.10,
601,7.20,7.75,,,,6.50,6.50,8.50,9,N1,02,,21.50,,,20.80,24.00,
602,9,8.50,6.25,7,6.50,,,,9.40,N1,02,19.80,,22.30,22.50,,26.90,24.70
603,8.20,7.50,,,,5,6.75,7.50,9,N1,02,,19.30,,,19.30,24.70,
604,8.20,6,6.75,8.25,8.25,,,,7.20,N1,02,23.30,,23.20,24.70,,21.40,22.20
605,8.20,6.50,8.50,5.25,6.25,,,,9,N1,02,20.00,,22.00,19.70,,23.70,25.70
606,7.80,7.50,,,,4.75,6.25,6.25,9.40,N1,02,,17.30,,,18.50,24.70,
607,7.80,7,6.50,4.50,6.25,,,,8.80,N1,02,17.30,,18.80,18.60,,23.60,23.10
608,7.20,7.50,,,,5,6.25,8.75,9.20,N1,02,,20.00,,,18.80,23.90,
609,8.20,8.75,6.75,6.25,6,,,,9.40,N1,02,19.00,,21.20,20.50,,26.40,24.40
610,8.80,7,8.25,6.75,4.75,,,,6.40,N1,02,19.80,,23.80,20.30,,22.20,23.50
611,8,7.25,8,7.25,7.50,,,,9.20,N1,02,22.80,,23.30,22.80,,24.50,25.20
612,9,6.50,7.50,8,7.25,,,,8.40,N1,02,22.80,,24.50,24.30,,23.90,24.90
613,8.80,7.25,8,6.50,5.50,,,,9.60,N1,02,20.00,,23.30,20.80,,25.70,26.40
614,7.60,7.75,5.75,6.75,6.50,,,,8.40,N1,02,19.00,,20.10,20.90,,23.80,21.80
615,7,4.75,,,,4.75,6.75,9.50,8.60,N1,02,,21.00,,,16.30,20.40,
616,7.20,7.50,,,,7.75,7.50,9.25,8.80,N1,02,,24.50,,,22.80,23.50,
617,6.80,7.25,,,,3.75,7.50,7.50,8.40,N1,02,,18.80,,,18.50,22.50,
618,7.20,7,5.75,6.25,6.50,,,,8.80,N1,02,18.50,,19.20,20.00,,23.00,21.80
619,7.60,7.25,5,4.25,5,,,,8.80,N1,02,14.30,,16.90,16.90,,23.70,21.40
620,7.80,7.50,,,,5.25,7.50,9,9,N1,02,,21.80,,,20.30,24.30,
621,6.80,7.50,,,,6.75,8.25,9,9.40,N1,02,,24.00,,,22.50,23.70,
622,7.20,7.75,,,,6,8,8.75,8.60,N1,02,,22.80,,,21.80,23.50,
623,7.80,7,,,,7.75,8,10,9.20,N1,02,,25.80,,,22.80,24.00,
624,6,6.50,5.25,6.25,4,,,,7.60,N1,02,15.50,,17.50,16.30,,20.10,18.90
625,7.80,7.25,5.75,4.50,5,,,,9.40,N1,02,15.30,,18.10,17.30,,24.50,23.00
626,8.20,8,,,,7.50,7.50,9.75,9.20,N1,02,,24.80,,,23.00,25.40,
627,7.60,6.50,5.50,5.25,4.75,,,,7.60,N1,02,15.50,,18.40,17.60,,21.70,20.70
628,7.20,7.50,6.50,7,6.75,,,,9,N1,02,20.30,,20.70,21.00,,23.70,22.70
629,7,4,6.75,8,6.25,,,,4.60,N1,02,21.00,,21.80,21.30,,15.60,18.40
630,8.20,7.75,7.50,6,4.50,,,,9.60,N1,02,18.00,,21.70,18.70,,25.50,25.30
631,8.80,7.25,5.75,7,8.25,,,,7.40,N1,02,21.00,,21.60,24.10,,23.50,22.00
632,8,7,,,,5,7.75,9.75,9.60,N1,02,,22.50,,,19.80,24.60,
633,5.80,5.75,,,,6.50,7.75,8.25,8.80,N1,02,,22.50,,,20.00,20.40,
634,5.40,7.25,,,,9.25,7.50,9.50,9,N1,02,,26.30,,,24.00,21.70,
635,7.40,6.50,5.25,6.25,5,,,,9.40,N1,02,16.50,,18.90,18.70,,23.30,22.10
636,6.80,7.25,,,,3.50,7.75,8.25,6,N1,02,,19.50,,,18.50,20.10,
637,8.40,7,,,,7.50,7.50,8.75,8.40,N1,02,,23.80,,,22.00,23.80,
638,8.60,7,5.50,5,6,,,,9,N1,02,16.50,,19.10,19.60,,24.60,23.10
639,8.40,6,7.50,7.75,4.50,,,,6.40,N1,02,19.80,,23.70,20.70,,20.80,22.30
640,8,7.25,4,5,6.25,,,,9.20,N1,02,15.30,,17.00,19.30,,24.50,21.20
641,6.60,6,6.50,5.75,5.75,,,,9,N1,02,18.00,,18.90,18.10,,21.60,22.10
642,8.20,7,,,,4.25,5.50,7.50,9.40,N1,02,,17.30,,,16.80,24.60,
643,8.40,6.25,6.75,8,6.50,,,,9,N1,02,21.30,,23.20,22.90,,23.70,24.20
644,7.80,7,5.25,6.50,4.75,,,,8.40,N1,02,16.50,,19.60,19.10,,23.20,21.50
645,8.40,6.75,7.25,6.75,7,,,,6.80,N1,02,21.00,,22.40,22.20,,22.00,22.50
646,7.40,6.50,,,,4.50,6.25,9,8.20,N1,02,,19.80,,,17.30,22.10,
647,8.80,5.25,6.50,8,5,,,,6.20,N1,02,19.50,,23.30,21.80,,20.30,21.50
648,7.80,5.25,5.25,6.75,6.50,,,,7.60,N1,02,18.50,,19.80,21.10,,20.70,20.70
649,7.80,5.25,6.50,5.50,5.25,,,,9.80,N1,02,17.30,,19.80,18.60,,22.90,24.10
650,7.60,6.75,,,,3,7.25,8.25,8.40,N1,02,,18.50,,,17.00,22.80,
651,5.20,1.75,,,,2.75,3.50,5.25,4.60,N1,02,,11.50,,,8.00,11.60,
652,7.40,6.75,,,,5.25,7.75,8.25,8.60,N1,02,,21.30,,,19.80,22.80,
653,6.80,6.50,,,,3.25,6.25,8.75,7.60,N1,02,,18.30,,,16.00,20.90,
654,8.40,6.75,6,8.75,5.75,,,,7,N1,02,20.50,,23.20,22.90,,22.20,21.40
655,6,6.50,,,,7,7.75,8.75,8,N1,02,,23.50,,,21.30,20.50,
656,7.40,8,4.75,4.50,4.75,,,,7.80,N1,02,14.00,,16.70,16.70,,23.20,20.00
657,7,7.50,6.25,7.50,6.25,,,,8.40,N1,02,20.00,,20.80,20.80,,22.90,21.70
658,7.20,5.75,4.25,6.25,8,,,,8.20,N1,02,18.50,,17.70,21.50,,21.20,19.70
659,8,3.75,7,7,5,,,,6.60,N1,02,19.00,,22.00,20.00,,18.40,21.60
660,7.80,5.75,6.75,5.25,6,,,,8.80,N1,02,18.00,,19.80,19.10,,22.40,23.40
661,7.20,5.75,6.50,6.25,4.25,,,,6.20,N1,02,17.00,,20.00,17.70,,19.20,19.90
662,7.20,7.25,6.50,6.75,6,,,,8,N1,02,19.30,,20.50,20.00,,22.50,21.70
663,7.20,6,,,,5.25,6.25,9,7.60,N1,02,,20.50,,,17.50,20.80,
664,8.60,8,4.50,6.25,4.50,,,,9.80,N1,02,15.30,,19.40,19.40,,26.40,22.90
665,8.60,7.25,,,,6.75,6.25,7.75,9.40,N1,02,,20.80,,,20.30,25.30,
666,7,7,7.75,6.50,5.25,,,,9.20,N1,02,19.50,,21.30,18.80,,23.20,24.00
667,7.40,6.75,6,9,8.25,,,,5.20,N1,02,23.30,,22.40,24.70,,19.40,18.60
668,7,5.50,7,5.50,5.25,,,,9.20,N1,02,17.80,,19.50,17.80,,21.70,23.20
669,8.40,5.50,7.25,9,4.25,,,,8,N1,02,20.50,,24.70,21.70,,21.90,23.70
670,8,6.50,6.75,7.25,5.75,,,,4,N1,02,19.80,,22.00,21.00,,18.50,18.80
671,7.60,5.50,6.25,4.50,6.25,,,,9.20,N1,02,17.00,,18.40,18.40,,22.30,23.00
672,7.40,7.50,5.75,7.50,4.50,,,,8.60,N1,02,17.80,,20.70,19.40,,23.50,21.80
673,7.60,7.25,7.50,6.50,6.25,,,,9,N1,02,20.30,,21.60,20.40,,23.90,24.10
674,8.60,5.25,5.75,5,5.75,,,,9.40,N1,02,16.50,,19.40,19.40,,23.30,23.80
675,7.40,7.50,,,,4.50,7.50,9,9,N1,02,,21.00,,,19.50,23.90,
676,7.80,7,,,,6.50,6,8.50,8.20,N1,02,,21.00,,,19.50,23.00,
677,6.40,6.75,,,,3.75,7,9.25,9,N1,02,,20.00,,,17.50,22.20,
678,6.60,7.75,,,,6.25,6.50,8.25,9.20,N1,02,,21.00,,,20.50,23.50,
679,7.60,6.75,,,,7.75,8.25,8.75,9.20,N1,02,,24.80,,,22.80,23.50,
680,7.80,6.50,5.75,5.75,5,,,,9.60,N1,02,16.50,,19.30,18.60,,23.90,23.20
681,7,7,3.50,7,6.50,,,,6,N1,02,17.00,,17.50,20.50,,20.00,16.50
682,6.60,7.25,,,,4,6.25,9.75,9.20,N1,02,,20.00,,,17.50,23.00,
683,5.80,6.25,4,4.50,4.50,,,,7.60,N1,02,13.00,,14.30,14.80,,19.70,17.40
684,7.40,6.25,,,,5,9,9.25,8.20,N1,02,,23.30,,,20.30,21.90,
685,8.40,8.50,6,5.50,5.25,,,,6,N1,02,16.80,,19.90,19.20,,22.90,20.40
686,8,6.25,6.50,7.50,8.25,,,,7.40,N1,02,22.30,,22.00,23.80,,21.70,21.90
687,7.60,6,5.75,4.25,5.25,,,,7.60,N1,02,15.30,,17.60,17.10,,21.20,21.00
688,8.60,7.50,7.25,8.75,6.50,,,,9,N1,02,22.50,,24.60,23.90,,25.10,24.90
689,6.80,6,4.25,3.50,5.50,,,,8.60,N1,02,13.30,,14.60,15.80,,21.40,19.70
690,7.20,6.25,6.25,4.50,5.25,,,,8.40,N1,02,16.00,,18.00,17.00,,21.90,21.90
691,5,6.75,5.25,4,3.50,,,,7.60,N1,02,12.80,,14.30,12.50,,19.40,17.90
692,6.80,3,5.50,6,3.25,,,,9,N1,02,14.80,,18.30,16.10,,18.80,21.30
693,8.40,8.25,6.25,8.25,8,,,,9.80,N1,02,22.50,,22.90,24.70,,26.50,24.50
694,8,7.50,,,,6,7,8.25,7.60,N1,02,,21.30,,,20.50,23.10,
695,6.60,6.50,,,,5,5.75,8.75,9.60,N1,02,,19.50,,,17.30,22.70,
696,7.40,4.25,4.75,7.75,5.25,,,,8.40,N1,02,17.80,,19.90,20.40,,20.10,20.60
697,7.60,6.75,4.50,5.50,3,,,,,,02,13.00,,17.60,16.10,,,
698,7.60,6,5.50,6.75,6,,,,8.20,N1,02,18.30,,19.90,20.40,,21.80,21.30
699,8.40,6,5.50,6.75,6.25,,,,9.20,N1,02,18.50,,20.70,21.40,,23.60,23.10
700,6.20,6,5.50,5,6,,,,9,N1,02,16.50,,16.70,17.20,,21.20,20.70
701,6.60,4.50,4.50,4.50,6.75,,,,8.20,N1,02,15.80,,15.60,17.90,,19.30,19.30
702,8.60,8.25,7,7.25,7,,,,8.80,N1,02,21.30,,22.90,22.90,,25.70,24.40
703,7.40,8.25,,,,7,7.50,9,9.40,N1,02,,23.50,,,22.80,25.10,
704,7.80,7.50,,,,5.25,7.75,8.75,8.80,N1,02,,21.80,,,20.50,24.10,
705,7.40,8,,,,8.75,8.25,9,8,N1,02,,26.00,,,25.00,23.40,
706,8.40,7.75,6.50,5.25,5.75,,,,9.80,N1,02,17.50,,20.20,19.40,,26.00,24.70
707,7.80,6,6.75,4,4.75,,,,9.40,N1,02,15.50,,18.60,16.60,,23.20,24.00
708,7.40,7,5.75,7.25,6.25,,,,7.20,N1,02,19.30,,20.40,20.90,,21.60,20.40
709,7.20,5.75,4.25,8.75,5.75,,,,9.20,N1,02,18.80,,20.20,21.70,,22.20,20.70
710,7.60,5.75,5.75,7.50,5.25,,,,7.80,N1,02,18.50,,20.90,20.40,,21.20,21.20
711,8.40,6.25,5,7,6.75,,,,8.40,N1,02,18.80,,20.40,22.20,,23.10,21.80
712,8,6.25,,,,5,8,9.50,7.60,N1,02,,22.50,,,19.30,21.90,
713,8.80,6.25,6.75,6.75,4.25,,,,9.80,N1,02,17.80,,22.30,19.80,,24.90,25.40
714,7.60,6.75,,,,5.50,7.25,8.25,7,N1,02,,21.00,,,19.50,21.40,
715,8,7.25,8.25,7.50,4.25,,,,7.40,N1,02,20.00,,23.80,19.80,,22.70,23.70
716,7.40,6.50,7,7.50,6,,,,7.40,N1,02,20.50,,21.90,20.90,,21.30,21.80
717,8.40,4.50,7.75,8.25,4.25,,,,7.80,N1,02,20.30,,24.40,20.90,,20.70,24.00
718,5.20,5.25,6,6.25,4.75,,,,6.40,N1,02,17.00,,17.50,16.20,,16.90,17.60
719,8.80,4.50,4.50,8.50,8.75,,,,8.80,N1,02,21.80,,21.80,26.10,,22.10,22.10
