,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,HKTN,HKXH,A00,B00,C00,D01,A01
720,7.60,6.75,4.75,7.25,4.75,,,,8.80,N1,02,16.80,,19.60,19.60,,23.20,21.20
721,8,7.50,,,,5,6.75,9.25,8.40,N1,02,,21.00,,,19.30,23.90,
722,8.40,6.75,,,,6.75,8.50,9.75,9.40,N1,02,,25.00,,,22.00,24.60,
723,8,8,6.25,4.75,6,,,,7.20,N1,02,17.00,,19.00,18.80,,23.20,21.50
724,7,7,7.25,4.50,5.75,,,,9,N1,02,17.50,,18.80,17.30,,23.00,23.30
725,7,7.25,,,,7,7.50,8.25,8.80,N1,02,,22.80,,,21.80,23.10,
726,8.60,7.75,,,,7.75,7.75,10,8.80,N1,02,,25.50,,,23.30,25.20,
727,6.80,6.50,6.75,6.50,5.75,,,,8,N1,02,19.00,,20.10,19.10,,21.30,21.60
728,8,6,6.25,5.50,6.25,,,,8.20,N1,02,18.00,,19.80,19.80,,22.20,22.50
729,7.40,7.75,6.75,6,6.25,,,,8.40,N1,02,19.00,,20.20,19.70,,23.60,22.60
730,7.80,8,5.25,8.50,6,,,,7.40,N1,02,19.80,,21.60,22.30,,23.20,20.50
731,6,8,,,,6.25,8,9.25,6.40,N1,02,,23.50,,,22.30,20.40,
732,6.20,7.75,4.75,4,5.50,,,,7.80,N1,02,14.30,,15.00,15.70,,21.80,18.80
733,7.80,6.50,6.25,6.75,6.50,,,,6.40,N1,02,19.50,,20.80,21.10,,20.70,20.50
734,7.80,6,6,5,4,,,,8.60,N1,02,15.00,,18.80,16.80,,22.40,22.40
735,8.60,6.50,4.25,7.25,8.25,,,,8.20,N1,02,19.80,,20.10,24.10,,23.30,21.00
736,7.80,6,7.25,6.75,4.50,,,,6.60,N1,02,18.50,,21.80,19.10,,20.40,21.70
737,8,6.75,,,,4,7,8.50,8.20,N1,02,,19.50,,,17.80,23.00,
738,7.20,4.75,7,8,8.25,,,,8.80,N1,02,23.30,,22.20,23.50,,20.80,23.00
739,8.40,6.50,,,,5,7.75,9.25,9.60,N1,02,,22.00,,,19.30,24.50,
740,8.20,6.50,7,6.75,5,,,,7,N1,02,18.80,,22.00,20.00,,21.70,22.20
741,7.60,6,7.50,6.75,4.75,,,,8.80,N1,02,19.00,,21.90,19.10,,22.40,23.90
742,8.40,6,5.50,7.25,4.50,,,,6.60,N1,02,17.30,,21.20,20.20,,21.00,20.50
743,6.80,6.50,,,,6.25,7.75,8.25,9,N1,02,,22.30,,,20.50,22.30,
744,7.80,5.25,3.25,4,4,,,,3.80,N1,02,11.30,,15.10,15.80,,16.90,14.90
745,7.80,6.50,5.75,6.75,7.75,,,,9,N1,02,20.30,,20.30,22.30,,23.30,22.60
746,5.40,4,4.25,4,3.25,,,,2.60,N1,02,11.50,,13.70,12.70,,12.00,12.30
747,8.40,6,7,8.25,7,,,,7.20,N1,02,22.30,,23.70,23.70,,21.60,22.60
748,7.20,5,,,,2.50,7,7.25,7.40,N1,02,,16.80,,,14.50,19.60,
749,4.40,6,,,,3.25,6.25,8.25,4.20,N1,02,,17.80,,,15.50,14.60,
750,8.20,5.25,5.50,7.75,5.50,,,,8.80,N1,02,18.80,,21.50,21.50,,22.30,22.50
751,7.20,7,6.75,6.50,6,,,,7.80,N1,02,19.30,,20.50,19.70,,22.00,21.80
752,6.80,6.25,6,2.75,5,,,,8.60,N1,02,13.80,,15.60,14.60,,21.70,21.40
753,7.80,7.75,,,,8.75,8.75,9.75,9.20,N1,02,,27.30,,,25.30,24.80,
754,7,6,5.25,6.75,5.25,,,,7.60,N1,02,17.30,,19.00,19.00,,20.60,19.90
755,6.20,5.25,4,6.50,6.75,,,,7.20,N1,02,17.30,,16.70,19.50,,18.70,17.40
756,7.60,4,6,4.50,5.50,,,,6.80,N1,02,16.00,,18.10,17.60,,18.40,20.40
757,6.60,5.50,5,8,4,,,,6.20,N1,02,17.00,,19.60,18.60,,18.30,17.80
758,5.60,6,,,,7.75,8.50,9.50,7,N1,02,,25.80,,,22.30,18.60,
759,8.40,6,7.25,7.50,4,,,,8.60,N1,02,18.80,,23.20,19.90,,23.00,24.30
760,8.40,5.50,6.75,7.75,6,,,,8.20,N1,02,20.50,,22.90,22.20,,22.10,23.40
761,8.60,6.50,7.75,6.50,6,,,,9.20,N1,02,20.30,,22.90,21.10,,24.30,25.60
762,8.40,6,7.75,7.50,5,,,,7.60,N1,02,20.30,,23.70,20.90,,22.00,23.80
763,7.80,6.50,3.50,5.50,4.50,,,,9.60,N1,02,13.50,,16.80,17.80,,23.90,20.90
764,8.40,8,6.75,9,7.25,,,,9.40,N1,02,23.00,,24.20,24.70,,25.80,24.60
765,8.40,5.50,5.75,5.75,4,,,,8.40,N1,02,15.50,,19.90,18.20,,22.30,22.60
766,7,6.50,,,,6,6.25,8.50,8.40,N1,02,,20.80,,,18.80,21.90,
767,8,7,5,5,4.75,,,,9,N1,02,14.80,,18.00,17.80,,24.00,22.00
768,7.60,6.50,6.75,7.50,3.75,,,,7.40,N1,02,18.00,,21.90,18.90,,21.50,21.80
769,7.40,6.25,,,,5.50,8.50,9.75,9,N1,02,,23.80,,,20.30,22.70,
770,7.80,4.50,5.25,6,3.75,,,,9.20,N1,02,15.00,,19.10,17.60,,21.50,22.30
771,7.80,6,5.50,6.25,6.50,,,,9.20,N1,02,18.30,,19.60,20.60,,23.00,22.50
772,8.40,7.25,,,,7.25,8.50,7.50,9.20,N1,02,,23.30,,,23.00,24.90,
773,8,6.25,7,9,6.50,,,,7.80,N1,02,22.50,,24.00,23.50,,22.10,22.80
774,7,8.50,7,7,6.75,,,,8.80,N1,02,20.80,,21.00,20.80,,24.30,22.80
775,8.40,7.25,8.25,6.75,6,,,,9.20,N1,02,21.00,,23.40,21.20,,24.90,25.90
776,6.40,6.50,,,,4.75,6.75,8.50,8.80,N1,02,,20.00,,,18.00,21.70,
777,7.60,7,7.50,7.75,6.25,,,,9.40,N1,02,21.50,,22.90,21.60,,24.00,24.50
778,6.60,7.50,5.75,4.75,4.50,,,,8.80,N1,02,15.00,,17.10,15.90,,22.90,21.20
779,7,6.25,6.25,6.50,5,,,,9,N1,02,17.80,,19.80,18.50,,22.30,22.30
780,8.20,7,,,,7.50,8.50,9.50,9.60,N1,02,,25.50,,,23.00,24.80,
781,7.80,7,7,7.25,8,,,,9.80,N1,02,22.30,,22.10,23.10,,24.60,24.60
782,8.20,5.50,8,5.50,5.50,,,,8.80,N1,02,19.00,,21.70,19.20,,22.50,25.00
783,6.40,6.75,,,,6.25,7.75,9.25,6.80,N1,02,,23.30,,,20.80,20.00,
784,7.40,7,,,,2.75,8,9.25,8.60,N1,02,,20.00,,,17.80,23.00,
785,7,6.75,4.50,5.75,5.75,,,,8.40,N1,02,16.00,,17.30,18.50,,22.20,19.90
786,7,7.50,,,,6.25,7.75,9.75,8.80,N1,02,,23.80,,,21.50,23.30,
787,7.20,6.25,6.50,6.25,4.75,,,,8.80,N1,02,17.50,,20.00,18.20,,22.30,22.50
788,5.80,7.50,3.25,4.25,3,,,,8,N1,02,10.50,,13.30,13.10,,21.30,17.10
789,8,7.50,,,,7,7,9.75,8.40,N1,02,,23.80,,,21.50,23.90,
790,8.40,6.50,7,6.75,7.25,,,,7.20,N1,02,21.00,,22.20,22.40,,22.10,22.60
791,6.80,7.75,5.75,6.50,4,,,,9,N1,02,16.30,,19.10,17.30,,23.60,21.60
792,6.80,6.50,6.25,6.75,5,,,,9.40,N1,02,18.00,,19.80,18.60,,22.70,22.50
793,8.20,7.25,6.25,5.75,5,,,,7.80,N1,02,17.00,,20.20,19.00,,23.30,22.30
794,6.80,6.50,,,,7.75,7.50,6.25,7.20,N1,02,,21.50,,,21.80,20.50,
795,8,6.25,7.25,6.50,5.25,,,,8.60,N1,02,19.00,,21.80,19.80,,22.90,23.90
796,9,5.25,7.25,7.25,5.75,,,,9.20,N1,02,20.30,,23.50,22.00,,23.50,25.50
797,7.80,7,6,8.50,6.75,,,,8.60,N1,02,21.30,,22.30,23.10,,23.40,22.40
798,8.60,7.50,7.75,6.50,6.75,,,,9.40,N1,02,21.00,,22.90,21.90,,25.50,25.80
799,8.20,6.50,7.25,8,5.25,,,,9.40,N1,02,20.50,,23.50,21.50,,24.10,24.90
800,7.60,6.50,6,5.50,5.50,,,,9.20,N1,02,17.00,,19.10,18.60,,23.30,22.80
801,7.80,6,5.50,7.25,6,,,,8.80,N1,02,18.80,,20.60,21.10,,22.60,22.10
802,7.60,5.75,6,6,5.75,,,,8.60,N1,02,17.80,,19.60,19.40,,22.00,22.20
803,7.60,4.67,4.50,5.75,5,,,,5.20,N1,02,15.30,,17.90,18.40,,17.50,17.30
804,7,5.75,4.75,5,5.50,,,,8.20,N1,02,15.30,,16.80,17.50,,21.00,20.00
805,7.40,7,,,,3.50,6.50,8.75,8.60,N1,02,,18.80,,,17.00,23.00,
806,7,6.75,5.75,4.50,3.75,,,,8.60,N1,02,14.00,,17.30,15.30,,22.40,21.40
807,8.60,6,4.25,6.75,4.75,,,,9,N1,02,15.80,,19.60,20.10,,23.60,21.90
808,8.40,7.25,6.25,8,6.50,,,,9.40,N1,02,20.80,,22.70,22.90,,25.10,24.10
809,6.40,7,4.75,3.50,3.50,,,,9,N1,02,11.80,,14.70,13.40,,22.40,20.20
810,6.40,6.50,5.25,5,5.25,,,,8,N1,02,15.50,,16.70,16.70,,20.90,19.70
811,5.40,6.25,4.75,6,3.50,,,,9,N1,02,14.30,,16.20,14.90,,20.70,19.20
812,8.40,6.75,7.75,7.75,7,,,,7.60,N1,02,22.50,,23.90,23.20,,22.80,23.80
813,8.40,6.50,7,7.50,6.25,,,,8.60,N1,02,20.80,,22.90,22.20,,23.50,24.00
814,7.20,6.42,7.25,8.25,3.50,,,,6.40,N1,02,19.00,,22.70,19.00,,20.00,20.90
815,7.40,7.50,5.50,6.25,6,,,,9,N1,02,17.80,,19.20,19.70,,23.90,21.90
816,7.40,6.50,6,8.25,7.75,,,,7.40,N1,02,22.00,,21.70,23.40,,21.30,20.80
817,8.80,5.25,6,7,5.75,,,,7.60,N1,02,18.80,,21.80,21.60,,21.70,22.40
818,8,6.25,6.50,8,6.75,,,,7.20,N1,02,21.30,,22.50,22.80,,21.50,21.70
819,7.60,6.25,,,,4,7.25,8.50,9.20,N1,02,,19.80,,,17.50,23.00,
820,7.60,7,5.75,7,5.50,,,,9,N1,02,18.30,,20.40,20.10,,23.60,22.40
821,8,5.50,,,,5.75,6.50,8.50,9.60,N1,02,,20.80,,,17.80,23.10,
822,8,6.75,,,,7,8.50,9.50,8.40,N1,02,,25.00,,,22.30,23.20,
823,8.60,7,7.75,7.50,6,,,,8.40,N1,02,21.30,,23.90,22.10,,24.00,24.80
824,7.60,5.75,,,,4,7.50,9.25,,,02,,20.80,,,17.30,,
825,7.80,7.75,7,7.75,6.25,,,,8.60,N1,02,21.00,,22.60,21.80,,24.20,23.40
826,7.60,7,,,,5.25,6.25,9.50,8,N1,02,,21.00,,,18.50,22.60,
827,8,6.75,,,,7.75,8,9.50,6.20,N1,02,,25.30,,,22.50,21.00,
828,8,6.50,5.25,8,6.25,,,,7.80,N1,02,19.50,,21.30,22.30,,22.30,21.10
829,6.80,6.75,5.25,5.50,6,,,,6.40,N1,02,16.80,,17.60,18.30,,20.00,18.50
830,7.60,6,6.50,7.25,4.75,,,,7.60,N1,02,18.50,,21.40,19.60,,21.20,21.70
831,8.20,6.50,,,,7,6.25,8.75,9.60,N1,02,,22.00,,,19.80,24.30,
832,7.20,6.75,,,,8.25,7.75,9.50,8,N1,02,,25.50,,,22.80,22.00,
833,8.20,6.50,6.75,6.75,6.25,,,,8,N1,02,19.80,,21.70,21.20,,22.70,23.00
834,8.20,6,5,6.75,3.75,,,,7.20,N1,02,15.50,,20.00,18.70,,21.40,20.40
835,6.80,6.50,4.75,4.50,4.75,,,,6.80,N1,02,14.00,,16.10,16.10,,20.10,18.40
836,7.60,6.50,5,6.25,7.75,,,,9.20,N1,02,19.00,,18.90,21.60,,23.30,21.80
837,8.20,6,8.25,6,6.50,,,,9,N1,02,20.80,,22.50,20.70,,23.20,25.50
838,6.40,7,5.25,4.50,5,,,,8,N1,02,14.80,,16.20,15.90,,21.40,19.70
839,7.20,6,7.25,7.50,5.25,,,,8.20,N1,02,20.00,,22.00,20.00,,21.40,22.70
840,7.60,7.25,,,,6,7.50,9.50,9.40,N1,02,,23.00,,,20.80,24.30,
841,6.80,8,5,6.75,3,,,,8.20,N1,02,14.80,,18.60,16.60,,23.00,20.00
842,8.60,4.25,,,,6.25,7.25,8.50,8.80,N1,02,,22.00,,,17.80,21.70,
843,8.20,6.50,7.50,7.50,5.50,,,,8,N1,02,20.50,,23.20,21.20,,22.70,23.70
844,8.80,5,6.50,3.75,2.75,,,,8.80,N1,02,13.00,,19.10,15.30,,22.60,24.10
845,7.80,6.50,7,7.50,5.50,,,,8.20,N1,02,20.00,,22.30,20.80,,22.50,23.00
846,6.20,6.50,5.75,5.50,4.25,,,,8.20,N1,02,15.50,,17.50,16.00,,20.90,20.20
847,7,6.75,6.75,7.50,4.75,,,,9.20,N1,02,19.00,,21.30,19.30,,23.00,23.00
848,7.80,5.75,7.25,4.75,4.75,,,,8.40,N1,02,16.80,,19.80,17.30,,22.00,23.50
849,7.20,7,7.50,5.50,5,,,,9.20,N1,02,18.00,,20.20,17.70,,23.40,23.90
850,8.20,6.25,6,4.50,4.25,,,,6.80,N1,02,14.80,,18.70,17.00,,21.30,21.00
851,8,5.50,7.75,6.25,6.25,,,,8.60,N1,02,20.30,,22.00,20.50,,22.10,24.40
852,6.80,7.50,,,,6.75,8,9.25,9.20,N1,02,,24.00,,,22.30,23.50,
853,8,6.50,5.50,7.25,5.25,,,,8.60,N1,02,18.00,,20.80,20.50,,23.10,22.10
854,7.80,6.75,5,6.75,5.50,,,,6.80,N1,02,17.30,,19.60,20.10,,21.40,19.60
855,7.80,6.50,5.50,6.75,5.25,,,,9,N1,02,17.50,,20.10,19.80,,23.30,22.30
856,8.20,4.50,4,6,6.75,,,,8.80,N1,02,16.80,,18.20,21.00,,21.50,21.00
857,7.40,5.50,4.50,6.50,6.50,,,,7.40,N1,02,17.50,,18.40,20.40,,20.30,19.30
858,8,6.50,6.75,7.50,7.25,,,,6.20,N1,02,21.50,,22.30,22.80,,20.70,21.00
859,8.20,5.25,7,5.25,4.75,,,,9.40,N1,02,17.00,,20.50,18.20,,22.90,24.60
860,6.40,6.50,4.50,6,5,,,,8,N1,02,15.50,,16.90,17.40,,20.90,18.90
861,8.20,6.25,5.75,8,6,,,,8.80,N1,02,19.80,,22.00,22.20,,23.30,22.80
862,7.60,7.50,,,,6.75,7.75,9.50,8,N1,02,,24.00,,,22.00,23.10,
863,8,7.25,,,,4.75,7.75,10,8.60,N1,02,,22.50,,,19.80,23.90,
864,6.60,8,,,,4.25,8.50,9.50,6.40,N1,02,,22.30,,,20.80,21.00,
865,8.40,8.25,,,,6,7,8.25,8.80,N1,02,,21.30,,,21.30,25.50,
866,7.60,6.25,,,,5.25,7,8.75,8.20,N1,02,,21.00,,,18.50,22.00,
867,6.80,6.75,,,,4,7.50,9.25,7.60,N1,02,,20.80,,,18.30,21.20,
868,8.80,6,6.75,7.50,5.25,,,,6.40,N1,02,19.50,,23.10,21.60,,21.20,22.00
869,8,7.75,5.25,6.75,7.50,,,,8.80,N1,02,19.50,,20.00,22.30,,24.60,22.10
870,7.80,7.25,,,,7.25,8,10,9.20,N1,02,,25.30,,,22.50,24.30,
871,8.20,5.75,6.75,5.75,4.50,,,,6.40,N1,02,17.00,,20.70,18.50,,20.40,21.40
872,6.20,6.50,,,,3.50,6.75,8,7.80,N1,02,,18.30,,,16.80,20.50,
873,8,8.50,,,,5.75,7.25,9,8.80,N1,02,,22.00,,,21.50,25.30,
874,7,7.25,,,,8.25,8,9.75,7.60,N1,02,,26.00,,,23.50,21.90,
875,7.60,4.50,5.75,6.25,6.25,,,,8.80,N1,02,18.30,,19.60,20.10,,20.90,22.20
876,7.80,7.25,6.50,7,5.50,,,,6.40,N1,02,19.00,,21.30,20.30,,21.50,20.70
877,8.60,7.25,6,7.25,5.50,,,,7.40,N1,02,18.80,,21.90,21.40,,23.30,22.00
878,6.60,6.75,5,4.25,5.25,,,,7.60,N1,02,14.50,,15.90,16.10,,21.00,19.20
879,7,7.50,5.75,7.75,6,,,,6,N1,02,19.50,,20.50,20.80,,20.50,18.80
880,6.80,7,,,,7.25,8.25,9.25,8.60,N1,02,,24.80,,,22.50,22.40,
881,7.20,6.50,5.50,7.25,5.75,,,,8.60,N1,02,18.50,,20.00,20.20,,22.30,21.30
882,7.80,6.50,6.25,4.25,4.50,,,,7.80,N1,02,15.00,,18.30,16.60,,22.10,21.90
883,7.80,6.67,,,,8.50,8,8.75,8.80,N1,02,,25.30,,,23.20,23.30,
884,8.20,7,5.25,6,5.50,,,,8.80,N1,02,16.80,,19.50,19.70,,24.00,22.30
885,8.20,7,7.25,7.75,8,,,,8.20,N1,02,23.00,,23.20,24.00,,23.40,23.70
886,7.20,7.25,,,,5.75,6.75,9.25,8,N1,02,,21.80,,,19.80,22.50,
887,8,6.75,5,5.75,5.75,,,,8,N1,02,16.50,,18.80,19.50,,22.80,21.00
888,7.40,5.25,7.50,4,3.75,,,,7.80,N1,02,15.30,,18.90,15.20,,20.50,22.70
889,7,7.50,6,6,4.75,,,,7,N1,02,16.80,,19.00,17.80,,21.50,20.00
890,6.40,6.50,5.25,6,6.25,,,,8,N1,02,17.50,,17.70,18.70,,20.90,19.70
891,7.60,6.50,7.50,5.50,6.25,,,,9,N1,02,19.30,,20.60,19.40,,23.10,24.10
892,7.20,6.75,5.25,6.50,5.50,,,,6.80,N1,02,17.30,,19.00,19.20,,20.80,19.30
893,7.60,6.75,6.50,8,5.25,,,,8.60,N1,02,19.80,,22.10,20.90,,23.00,22.70
894,7,7,,,,5,6,7.75,8.60,N1,02,,18.80,,,18.00,22.60,
895,7.40,7,7,8,6.25,,,,6.60,N1,02,21.30,,22.40,21.70,,21.00,21.00
896,8,7.50,4.75,6.25,5.50,,,,7,N1,02,16.50,,19.00,19.80,,22.50,19.80
897,6.60,7.50,,,,7.25,7.25,9,8.60,N1,02,,23.50,,,22.00,22.70,
898,8,7.50,6.25,7.50,6.25,,,,8,N1,02,20.00,,21.80,21.80,,23.50,22.30
899,7.80,7,4.50,5.50,3.75,,,,8.20,N1,02,13.80,,17.80,17.10,,23.00,20.50
900,7.80,7.50,6,5.25,6,,,,8.60,N1,02,17.30,,19.10,19.10,,23.90,22.40
901,7.20,6.50,6,5.75,5.25,,,,9,N1,02,17.00,,19.00,18.20,,22.70,22.20
902,8.40,7,,,,7.25,8,9.75,8.40,N1,02,,25.00,,,22.30,23.80,
903,6.60,7.50,7,5.75,4.50,,,,8.40,N1,02,17.30,,19.40,16.90,,22.50,22.00
904,7.40,7.50,7,6,4.75,,,,8.80,N1,02,17.80,,20.40,18.20,,23.70,23.20
905,7,7,,,,8.25,7.75,9.50,8.60,N1,02,,25.50,,,23.00,22.60,
906,8,5.50,7.75,8,6,,,,6.80,N1,02,21.80,,23.80,22.00,,20.30,22.60
907,7,5.25,7.25,6.25,6.50,,,,7,N1,02,20.00,,20.50,19.80,,19.30,21.30
908,7,5.50,6.25,4,4.25,,,,7.80,N1,02,14.50,,17.30,15.30,,20.30,21.10
909,7.20,6.50,5.50,6,5.75,,,,6.40,N1,02,17.30,,18.70,19.00,,20.10,19.10
910,8.40,7.25,,,,8.50,7.75,10,8.80,N1,02,,26.30,,,23.50,24.50,
911,7.20,7.50,,,,5.75,7.75,8.25,8.60,N1,02,,21.80,,,21.00,23.30,
912,7.80,5.50,,,,3.25,6.25,7.75,8.20,N1,02,,17.30,,,15.00,21.50,
913,7.80,6.75,6.50,7.75,6,,,,9,N1,02,20.30,,22.10,21.60,,23.60,23.30
914,4.20,4,,,,3.25,4.75,6.75,4.20,N1,02,,14.80,,,12.00,12.40,
915,6.20,6.75,,,,3.25,6.75,8.75,9,N1,02,,18.80,,,16.80,22.00,
916,7.80,7,6.25,7.75,7,,,,8.40,N1,02,21.00,,21.80,22.60,,23.20,22.50
917,6.20,4.50,6.75,5.75,4.75,,,,6,N1,02,17.30,,18.70,16.70,,16.70,19.00
918,8,6.75,5.50,7,6,,,,7.80,N1,02,18.50,,20.50,21.00,,22.60,21.30
919,7,6.25,,,,4.75,7,8.50,9.20,N1,02,,20.30,,,18.00,22.50,
920,7.60,7.75,7,7,5.50,,,,8.80,N1,02,19.50,,21.60,20.10,,24.20,23.40
921,6.80,7,,,,6.50,6,8.25,8.20,N1,02,,20.80,,,19.50,22.00,
922,8.60,6.75,6.75,7.25,4.50,,,,7.60,N1,02,18.50,,22.60,20.40,,23.00,23.00
923,6.60,8.25,,,,6,8.25,9.75,9.20,N1,02,,24.00,,,22.50,24.00,
924,6.20,7.75,5.50,5.25,5.25,,,,6.40,N1,02,16.00,,17.00,16.70,,20.40,18.10
925,8.20,8.50,,,,7.75,9.75,9.50,9.60,N1,02,,27.00,,,26.00,26.30,
926,3,6,,,,3.50,4.50,6.75,2.40,N1,02,,14.80,,,14.00,11.40,
927,7.20,5.50,6.25,6.50,4.75,,,,6,N1,02,17.50,,20.00,18.50,,18.70,19.50
928,6.80,5.83,,,,6.25,6.25,9.75,8.60,N1,02,,22.30,,,18.30,21.20,
929,7.40,6.75,6.75,6.25,5.25,,,,8.20,N1,02,18.30,,20.40,18.90,,22.40,22.40
930,6.60,6.25,,,,5.25,6.75,7.75,8.40,N1,02,,19.80,,,18.30,21.30,
931,8.20,6.50,6.75,7,4.25,,,,8.60,N1,02,18.00,,22.00,19.50,,23.30,23.50
932,7.20,7.50,,,,8,8.25,9.50,8.60,N1,02,,25.80,,,23.80,23.30,
933,7.60,7.50,,,,7.75,7.50,9.50,8.80,N1,02,,24.80,,,22.80,23.90,
934,8,6.75,6.25,8,6.25,,,,8.80,N1,02,20.50,,22.30,22.30,,23.60,23.10
935,6.80,6.75,,,,7,8,9,7.20,N1,02,,24.00,,,21.80,20.80,
936,9,7.75,7.25,7.50,6,,,,9.60,N1,02,20.80,,23.80,22.50,,26.40,25.90
937,6.20,7.25,,,,5.75,7,7.75,6,N1,02,,20.50,,,20.00,19.50,
938,8.20,4.50,6.75,7,5.75,,,,9,N1,02,19.50,,22.00,21.00,,21.70,24.00
939,7.60,6.25,7.75,8.25,4.75,,,,7,N1,02,20.80,,23.60,20.60,,20.90,22.40
940,8,5.75,4.50,6,5,,,,8.40,N1,02,15.50,,18.50,19.00,,22.20,20.90
941,8,5.50,6.50,6,5.75,,,,9.20,N1,02,18.30,,20.50,19.80,,22.70,23.70
942,8.40,4.75,7.75,5.75,6.75,,,,8.60,N1,02,20.30,,21.90,20.90,,21.80,24.80
943,7.80,4.58,7.25,7.25,5.25,,,,9.20,N1,02,19.80,,22.30,20.30,,21.60,24.30
944,7.80,7.75,4,5.75,5,,,,6.80,N1,02,14.80,,17.60,18.60,,22.40,18.60
945,8.20,4.75,7,6.25,5.50,,,,7.40,N1,02,18.80,,21.50,20.00,,20.40,22.60
946,8,6.25,7,4.75,7.50,,,,8.80,N1,02,19.30,,19.80,20.30,,23.10,23.80
947,8,8,6.50,8.25,8,,,,9,N1,02,22.80,,22.80,24.30,,25.00,23.50
948,8.40,6.50,7.75,8.25,5,,,,7,N1,02,21.00,,24.40,21.70,,21.90,23.20
949,7,5.50,5,6,5.75,,,,8.20,N1,02,16.80,,18.00,18.80,,20.70,20.20
950,8.40,5.75,7,7.75,6.25,,,,6.60,N1,02,21.00,,23.20,22.40,,20.80,22.00
951,7.20,7.25,,,,6.25,7.25,9.50,8.40,N1,02,,23.00,,,20.80,22.90,
952,7.20,7.50,4.75,5.50,4.50,,,,8.20,N1,02,14.80,,17.50,17.20,,22.90,20.20
953,8.80,6.92,5.75,7.75,5.25,,,,8.40,N1,02,18.80,,22.30,21.80,,24.10,23.00
954,8.20,6,8.25,7.25,6.50,,,,10,N1,02,22.00,,23.70,22.00,,24.20,26.50
955,7.20,3.75,6.75,7.50,5.25,,,,8.60,N1,02,19.50,,21.50,20.00,,19.50,22.50
956,8.20,7.50,6.50,6.25,6.75,,,,8.60,N1,02,19.50,,21.00,21.20,,24.30,23.30
957,8.40,6.50,7,7,5.50,,,,8.80,N1,02,19.50,,22.40,20.90,,23.70,24.20
958,8.20,7.25,6.25,7.75,7,,,,8,N1,02,21.00,,22.20,23.00,,23.50,22.50
959,8,7.75,6.25,6.50,7,,,,9,N1,02,19.80,,20.80,21.50,,24.80,23.30
